wav_id,contents,sentiment
5f4141e29dd513131eacee2f,헐! 나 이벤트에 당첨 됐어.,happy
5f4141f59dd513131eacee30,내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 신청 한번 해봤지.,happy
5f4142119dd513131eacee31,"한 명 뽑는 거였는데, 그게 바로 내가 된 거야.",happy
5f4142279dd513131eacee32,"당연히 마음에 드는 선물이니깐, 이벤트에 내가 신청 한번 해본 거지. 비싼 거야. 그래서 못 산 향수야.",happy
5f3c9ed98a3c1005aa97c4bd,에피타이저 정말 좋아해. 그 것도 괜찮은 생각인 것 같애.,neutral
5f3c9ef78a3c1005aa97c4be,난 부페 형식의 음식들도 정말 좋아해. 그 것도 좀 알려 줘.,neutral
5f3c9f658a3c1005aa97c4c7,응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.,happy
5f3c9f808a3c1005aa97c4c8,"신나는 음악 듣는 것도 좋고, 어디 여행 가고 싶고 이 것 저 것 다 해보고 싶어.",happy
5f3c9f9c8a3c1005aa97c4cb,친구들도 내 연락 기다리고 있을 텐데 내가 까먹고 있었네?,happy
5f3c9fcc8a3c1005aa97c4ce,그래. 일단은 친구들부터 만나서 여행 계획에 대해서 얘기 좀 해봐야 되겠어.,happy
5f3ca01b8a3c1005aa97c4d3,나 요즘 너무 우울해 죽겠어.,sad
5f3ca06b8a3c1005aa97c4da,맞아. 사람은 나가서 활동을 해야 된다고.,sad
5f3ca09d8a3c1005aa97c4df,좀 활기 있는 영화로 좀 부탁할게.,sad
5f3ca4778a3c1005aa97c50d,내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지. 그런데 그게 돈 받고 하는 광고였대잖아.,angry
5f3ca4a28a3c1005aa97c510,그래서 사람들이 증거 사진을 올렸더니 그 때서야 광고였다고 미안하다고 하는 거야.,angry
5f3ca4cf8a3c1005aa97c515,처음부터 자기 잘못을 알고 미안하다고 했으면 화가 이렇게 나진 않았을 거야. 사람들이 증거를 올리니까 그 때서야 사과하는 게 진정성이 느껴지지가 않아.,angry
5f4142459dd513131eacee33,아니. 이제부터 자랑 한번 해봐야지.,happy
5f41426d9dd513131eacee35,내 휴가가 엉망진창이 돼버렸어.,angry
5f4142819dd513131eacee36,휴가 시작함과 동시에 장마도 같이 시작해버렸어. 그래서 하루 종일 비가 와.,angry
5f41429f9dd513131eacee37,여름 휴가는 뭐니뭐니 해도 여름 바다야. 그런데 지금 이렇게 비가 많이 오니 바다를 갈 수가 없어.,angry
5f4142c09dd513131eacee38,그 동안 바빠서 한 번을 휴가를 못 갔어. 한 1년만인 거 같애.,angry
5f4142e09dd513131eacee39,집에서 즐길 수 있는 영화나 게임 그런 것 좀 소개 좀 해줘.,angry
5f41443c9dd513131eacee41,나 축하해줘. 기분 좋은 일이 생겼어.,happy
